,0,1,2,3,4,5
0,cpu_openvino,1,149.15,6.7,vit_b_16,FP16
1,gpu_openvino,1,244.94,4.08,vit_b_16,FP16
2,cpu_openvino,1,77.89,12.84,vgg11,FP16
3,gpu_openvino,1,17.75,56.34,vgg11,FP16
4,cpu_openvino,1,37.84,26.43,resnet50,FP16
5,gpu_openvino,1,18.01,55.54,resnet50,FP16
6,cpu_openvino,2,367.5,5.44,vit_b_16,FP16
7,gpu_openvino,2,276.65,7.23,vit_b_16,FP16
8,cpu_openvino,2,126.58,15.8,vgg11,FP16
9,gpu_openvino,2,77.6,25.77,vgg11,FP16
10,cpu_openvino,2,65.95,30.33,resnet50,FP16
11,gpu_openvino,2,28.85,69.32,resnet50,FP16
12,cpu_openvino,4,593.01,6.75,vit_b_16,FP16
13,gpu_openvino,4,329.64,12.13,vit_b_16,FP16
14,cpu_openvino,4,246.91,16.2,vgg11,FP16
15,gpu_openvino,4,109.77,36.44,vgg11,FP16
16,cpu_openvino,4,125.09,31.98,resnet50,FP16
17,gpu_openvino,4,46.11,86.76,resnet50,FP16
18,cpu_openvino,6,839.82,7.14,vit_b_16,FP16
19,gpu_openvino,6,394.66,15.2,vit_b_16,FP16
20,cpu_openvino,6,348.46,17.22,vgg11,FP16
21,gpu_openvino,6,99.82,60.11,vgg11,FP16
22,cpu_openvino,6,182.83,32.82,resnet50,FP16
23,gpu_openvino,6,69.35,86.52,resnet50,FP16
24,cpu_openvino,10,1574.57,6.35,vit_b_16,FP16
25,gpu_openvino,10,727.92,13.74,vit_b_16,FP16
26,cpu_openvino,10,588.88,16.98,vgg11,FP16
27,gpu_openvino,10,157.05,63.67,vgg11,FP16
28,cpu_openvino,10,300.58,33.27,resnet50,FP16
29,gpu_openvino,10,116.81,85.61,resnet50,FP16
30,cpu_openvino,20,3078.52,6.5,vit_b_16,FP16
31,gpu_openvino,20,1337.01,14.96,vit_b_16,FP16
32,cpu_openvino,20,1068.95,18.71,vgg11,FP16
33,gpu_openvino,20,287.8,69.49,vgg11,FP16
34,cpu_openvino,20,591.61,33.81,resnet50,FP16
35,gpu_openvino,20,223.77,89.38,resnet50,FP16
36,cpu_openvino,1,147.69,6.77,vit_b_16,FP32
37,gpu_openvino,1,650.24,1.54,vit_b_16,FP32
38,cpu_openvino,1,78.01,12.82,vgg11,FP32
39,gpu_openvino,1,53.39,18.73,vgg11,FP32
40,cpu_openvino,1,36.4,27.47,resnet50,FP32
41,gpu_openvino,1,24.34,41.08,resnet50,FP32
42,cpu_openvino,2,374.3,5.34,vit_b_16,FP32
43,gpu_openvino,2,675.3,2.96,vit_b_16,FP32
44,cpu_openvino,2,126.71,15.78,vgg11,FP32
45,gpu_openvino,2,111.82,17.89,vgg11,FP32
46,cpu_openvino,2,64.37,31.07,resnet50,FP32
47,gpu_openvino,2,42.56,46.99,resnet50,FP32
48,cpu_openvino,4,590.12,6.78,vit_b_16,FP32
49,gpu_openvino,4,789.1,5.07,vit_b_16,FP32
50,cpu_openvino,4,246.83,16.21,vgg11,FP32
51,gpu_openvino,4,185.31,21.59,vgg11,FP32
52,cpu_openvino,4,125.77,31.81,resnet50,FP32
53,gpu_openvino,4,86.07,46.47,resnet50,FP32
54,cpu_openvino,6,906.68,6.62,vit_b_16,FP32
55,gpu_openvino,6,858.13,6.99,vit_b_16,FP32
56,cpu_openvino,6,346.26,17.33,vgg11,FP32
57,gpu_openvino,6,168.55,35.6,vgg11,FP32
58,cpu_openvino,6,181.52,33.06,resnet50,FP32
59,gpu_openvino,6,120.68,49.72,resnet50,FP32
60,cpu_openvino,10,1581.45,6.32,vit_b_16,FP32
61,gpu_openvino,10,1554.7,6.43,vit_b_16,FP32
62,cpu_openvino,10,586.34,17.05,vgg11,FP32
63,gpu_openvino,10,410.52,24.36,vgg11,FP32
64,cpu_openvino,10,300.14,33.32,resnet50,FP32
65,gpu_openvino,10,197.21,50.71,resnet50,FP32
66,cpu_openvino,20,3076.67,6.5,vit_b_16,FP32
67,gpu_openvino,20,2675.35,7.48,vit_b_16,FP32
68,cpu_openvino,20,1067.56,18.73,vgg11,FP32
69,gpu_openvino,20,486.66,41.1,vgg11,FP32
70,cpu_openvino,20,594.13,33.66,resnet50,FP32
71,gpu_openvino,20,385.85,51.83,resnet50,FP32
